1: 110, 25Q6K
2: 596, 264A5
3: 850, 265K7
4: 825, 2684T
5: 11, 2783Q
6: 457, 27A64
7: 515, 28546
8: 949, 2976Q
9: 343, 2T748
10: 539, 2K69Q
11: 478, 2K86A
12: 401, 3264Q
13: 951, 32T95
14: 351, 3475Q
15: 831, 3564A
16: 155, 37T5Q
17: 91, 38247
18: 806, 38576
19: 130, 396KT
20: 421, 3Q724
21: 918, 3K7A2
22: 52, 45TQ9
23: 987, 4785K
24: 953, 49TA8
25: 394, 4T3AQ
26: 520, 4A25K
27: 86, 5264T
28: 688, 56TQK
29: 214, 578A3
30: 622, 58329
31: 324, 5Q47K
32: 484, 5Q96T
33: 458, 62T97
34: 925, 64789
35: 758, 6495A
36: 981, 652TQ
37: 659, 67QA8
38: 319, 67K9A
39: 432, 68T72
40: 555, 69A48
41: 258, 6AKT2
42: 267, 72Q8A
43: 584, 7369Q
44: 698, 74TQ3
45: 64, 75936
46: 307, 76TKA
47: 689, 785Q2
48: 489, 786K4
49: 612, 79268
50: 937, 7Q49A
51: 816, 82TA4
52: 921, 8426K
53: 841, 84A9Q
54: 247, 8543K
55: 571, 86A5Q
56: 242, 8742Q
57: 237, 87K36
58: 274, 89K4A
59: 526, 8TK4Q
60: 999, 97364
61: 347, 97Q4K
62: 482, 9T5KQ
63: 563, 9QKA5
64: 771, 9K457
65: 975, 9K85T
66: 49, T23QA
67: 411, T26K9
68: 481, T3489
69: 205, T349A
70: 597, T37K9
71: 621, T4698
72: 784, T536Q
73: 389, T627Q
74: 856, Q2489
75: 417, Q2583
76: 811, Q2T49
77: 117, Q9653
78: 833, Q97K2
79: 80, QT342
80: 414, QT736
81: 929, QKT4A
82: 436, K286T
83: 888, K2937
84: 82, K53A8
85: 802, K58Q3
86: 20, K5AQ7
87: 454, K68Q5
88: 435, K7436
89: 284, K7T36
90: 311, K87A3
91: 958, K9625
92: 792, K9A5T
93: 707, KT479
94: 97, KA639
95: 984, A28K3
96: 467, A2T63
97: 548, A2K84
98: 170, A349Q
99: 712, A42TQ
100: 180, A53K4
101: 24, A563K
102: 369, A64TK
103: 35, A974K
104: 655, AT497
105: 194, AK394
106: 426, AK4Q5
107: 464, J25T9
108: 915, J3T4Q
109: 466, J452K
110: 210, J4729
111: 514, J5Q8A
112: 479, J632Q
113: 409, J6T94
114: 92, J74A5
115: 90, J7Q4A
116: 974, J864Q
117: 358, J8K4T
118: 917, J9638
119: 532, J96A5
120: 303, J9872
121: 32, JT498
122: 243, JQ324
123: 546, JQT42
124: 960, JK863
125: 438, JKT56
126: 344, JKQ84
127: 752, JA73Q
128: 766, JA87T
129: 18, JAK83
130: 183, 2J57T
131: 357, 22K78
132: 678, 23K7J
133: 182, 243J7
134: 537, 27573
135: 437, 2779Q
136: 991, 27975
137: 495, 279T7
138: 179, 27A47
139: 591, 28JKQ
140: 607, 28755
141: 135, 2TT35
142: 140, 2TKJ3
143: 84, 2QJ69
144: 864, 2QJT6
145: 153, 2Q344
146: 395, 2QT24
147: 852, 2QK7Q
148: 156, 2KJQA
149: 628, 2A57A
150: 474, 2A868
151: 471, 2A9AK
152: 558, 2AK9K
153: 241, 3J9Q7
154: 134, 32J85
155: 420, 32942
156: 855, 339A8
157: 691, 3524J
158: 125, 353A7
159: 511, 36596
160: 721, 36796
161: 747, 37K99
162: 348, 385K8
163: 321, 38982
164: 813, 3932K
165: 306, 39K92
166: 876, 3T573
167: 967, 3AK32
168: 105, 4J5AK
169: 570, 433A5
170: 897, 43Q48
171: 715, 44763
172: 172, 44785
173: 631, 448A6
174: 320, 45JQT
175: 588, 45229
176: 486, 4533T
177: 368, 48389
178: 316, 48575
179: 95, 48896
180: 614, 49JAK
181: 231, 49279
182: 123, 49A98
183: 835, 4Q294
184: 31, 4Q8Q9
185: 550, 4KJ69
186: 402, 4KQ3Q
187: 878, 4A766
188: 61, 4AK2J
189: 995, 5J86A
190: 669, 5JK32
191: 1, 52623
192: 295, 53528
193: 271, 53676
194: 531, 54T84
195: 407, 55984
196: 491, 55K67
197: 799, 566QK
198: 623, 57332
199: 434, 586KK
200: 313, 5957T
201: 142, 5T443
202: 381, 5T737
203: 2, 5Q66T
204: 234, 5K33A
205: 736, 5A2K2
206: 392, 6JQ95
207: 569, 6JK52
208: 186, 6JK87
209: 639, 62A28
210: 334, 63TQQ
211: 842, 642J5
212: 359, 646A3
213: 497, 64Q84
214: 331, 655A4
215: 168, 65KK3
216: 128, 66T34
217: 30, 67KJ4
218: 28, 67AJK
219: 753, 6846A
220: 946, 6T256
221: 1000, 6Q568
222: 396, 6QA8J
223: 648, 6K56T
224: 487, 6A79A
225: 636, 72294
226: 200, 729JQ
227: 280, 73K47
228: 904, 74KQJ
229: 171, 7527A
230: 902, 76Q6A
231: 656, 76K8K
232: 304, 77KAT
233: 843, 78KAJ
234: 556, 79JK4
235: 818, 79433
236: 881, 79869
237: 744, 79TJK
238: 196, 7T55K
239: 209, 7QJ35
240: 33, 7QQ6T
241: 719, 7K343
242: 38, 7K7Q4
243: 523, 7A9JQ
244: 233, 8JK42
245: 53, 82T3J
246: 990, 836J7
247: 931, 84JA7
248: 749, 842AJ
249: 44, 852K5
250: 429, 85657
251: 72, 88A2K
252: 163, 88A59
253: 606, 899Q7
254: 880, 89T2J
255: 742, 89K7K
256: 380, 8TJK9
257: 671, 8QTJA
258: 366, 8QTT7
259: 468, 92585
260: 619, 94426
261: 695, 9588K
262: 10, 96J24
263: 892, 97858
264: 365, 98T82
265: 165, 9T7AJ
266: 919, 9T943
267: 687, 9T982
268: 837, 9Q56Q
269: 567, 9Q5QA
270: 821, 9QQ53
271: 345, TJ685
272: 978, TJ926
273: 133, T2J9A
274: 618, T4J27
275: 111, T57K7
276: 264, T63A6
277: 463, T69J7
278: 192, T6T75
279: 911, T9383
280: 79, T9722
281: 629, TT39K
282: 786, TQ353
283: 832, TQ69J
284: 616, TA969
285: 830, TAQJK
286: 361, QJ39A
287: 290, QJ68T
288: 83, Q257J
289: 499, Q28Q4
290: 985, Q2T72
291: 276, Q3994
292: 973, Q3Q57
293: 565, Q5T75
294: 873, Q622A
295: 859, Q6KTT
296: 642, Q6KQ5
297: 939, Q7366
298: 624, Q8J9K
299: 583, Q9829
300: 100, QTJ38
301: 988, QTA6T
302: 782, QQ235
303: 838, QQ35K
304: 461, QQ8A7
305: 791, QA6AT
306: 560, K4K62
307: 441, K54K7
308: 446, K5T88
309: 349, K82QK
310: 440, K8TQ8
311: 617, K95AK
312: 382, K995T
313: 640, KT2QQ
314: 373, KQ353
315: 335, KQTK6
316: 772, KK7A8
317: 535, KKQT7
318: 998, KA575
319: 729, KAK57
320: 699, A394A
321: 211, A3A92
322: 493, A447Q
323: 317, A448T
324: 338, A4822
325: 887, A4Q46
326: 266, A4QQ6
327: 160, A5K9J
328: 710, A7J28
329: 969, A8T82
330: 127, A92QQ
331: 89, ATK5J
332: 37, AK747
333: 900, 22388
334: 651, 23293
335: 263, 24727
336: 679, 29442
337: 635, 3223K
338: 485, 33955
339: 362, 33Q66
340: 869, 33Q8Q
341: 865, 34483
342: 190, 35Q5Q
343: 957, 37TT7
344: 903, 38558
345: 544, 3T34T
346: 680, 3K23K
347: 15, 3K6K3
348: 798, 42747
349: 519, 44322
350: 225, 4433Q
351: 296, 443KK
352: 970, 44QQ3
