1: 678, 23K7J
2: 182, 243J7
3: 110, 25Q6K
4: 596, 264A5
5: 850, 265K7
6: 825, 2684T
7: 11, 2783Q
8: 457, 27A64
9: 515, 28546
10: 591, 28JKQ
11: 949, 2976Q
12: 343, 2T748
13: 140, 2TKJ3
14: 183, 2J57T
15: 84, 2QJ69
16: 864, 2QJT6
17: 539, 2K69Q
18: 478, 2K86A
19: 156, 2KJQA
20: 401, 3264Q
21: 951, 32T95
22: 134, 32J85
23: 351, 3475Q
24: 691, 3524J
25: 831, 3564A
26: 155, 37T5Q
27: 91, 38247
28: 806, 38576
29: 130, 396KT
30: 241, 3J9Q7
31: 421, 3Q724
32: 918, 3K7A2
33: 52, 45TQ9
34: 320, 45JQT
35: 987, 4785K
36: 953, 49TA8
37: 614, 49JAK
38: 394, 4T3AQ
39: 105, 4J5AK
40: 550, 4KJ69
41: 520, 4A25K
42: 61, 4AK2J
43: 86, 5264T
44: 688, 56TQK
45: 214, 578A3
46: 622, 58329
47: 995, 5J86A
48: 669, 5JK32
49: 324, 5Q47K
50: 484, 5Q96T
51: 458, 62T97
52: 842, 642J5
53: 925, 64789
54: 758, 6495A
55: 981, 652TQ
56: 659, 67QA8
57: 319, 67K9A
58: 30, 67KJ4
59: 28, 67AJK
60: 432, 68T72
61: 555, 69A48
62: 392, 6JQ95
63: 569, 6JK52
64: 186, 6JK87
65: 396, 6QA8J
66: 258, 6AKT2
67: 200, 729JQ
68: 267, 72Q8A
69: 584, 7369Q
70: 698, 74TQ3
71: 904, 74KQJ
72: 64, 75936
73: 307, 76TKA
74: 689, 785Q2
75: 489, 786K4
76: 843, 78KAJ
77: 612, 79268
78: 744, 79TJK
79: 556, 79JK4
80: 937, 7Q49A
81: 209, 7QJ35
82: 523, 7A9JQ
83: 53, 82T3J
84: 816, 82TA4
85: 990, 836J7
86: 921, 8426K
87: 749, 842AJ
88: 931, 84JA7
89: 841, 84A9Q
90: 247, 8543K
91: 571, 86A5Q
92: 242, 8742Q
93: 237, 87K36
94: 880, 89T2J
95: 274, 89K4A
96: 380, 8TJK9
97: 526, 8TK4Q
98: 233, 8JK42
99: 671, 8QTJA
100: 10, 96J24
101: 999, 97364
102: 347, 97Q4K
103: 482, 9T5KQ
104: 165, 9T7AJ
105: 563, 9QKA5
106: 771, 9K457
107: 975, 9K85T
108: 49, T23QA
109: 411, T26K9
110: 133, T2J9A
111: 481, T3489
112: 205, T349A
113: 597, T37K9
114: 621, T4698
115: 618, T4J27
116: 784, T536Q
117: 389, T627Q
118: 463, T69J7
119: 345, TJ685
120: 978, TJ926
121: 832, TQ69J
122: 830, TAQJK
123: 464, J25T9
124: 915, J3T4Q
125: 466, J452K
126: 210, J4729
127: 514, J5Q8A
128: 479, J632Q
129: 409, J6T94
130: 92, J74A5
131: 90, J7Q4A
132: 974, J864Q
133: 358, J8K4T
134: 917, J9638
135: 532, J96A5
136: 303, J9872
137: 32, JT498
138: 243, JQ324
139: 546, JQT42
140: 960, JK863
141: 438, JKT56
142: 344, JKQ84
143: 752, JA73Q
144: 766, JA87T
145: 18, JAK83
146: 856, Q2489
147: 83, Q257J
148: 417, Q2583
149: 811, Q2T49
150: 624, Q8J9K
151: 117, Q9653
152: 833, Q97K2
153: 80, QT342
154: 414, QT736
155: 100, QTJ38
156: 361, QJ39A
157: 290, QJ68T
158: 929, QKT4A
159: 436, K286T
160: 888, K2937
161: 82, K53A8
162: 802, K58Q3
163: 20, K5AQ7
164: 454, K68Q5
165: 435, K7436
166: 284, K7T36
167: 311, K87A3
168: 958, K9625
169: 792, K9A5T
170: 707, KT479
171: 97, KA639
172: 984, A28K3
173: 467, A2T63
174: 548, A2K84
175: 170, A349Q
176: 712, A42TQ
177: 180, A53K4
178: 24, A563K
179: 160, A5K9J
180: 369, A64TK
181: 710, A7J28
182: 35, A974K
183: 655, AT497
184: 89, ATK5J
185: 194, AK394
186: 426, AK4Q5
187: 357, 22K78
188: 292, 23J39
189: 537, 27573
190: 437, 2779Q
191: 991, 27975
192: 495, 279T7
193: 179, 27A47
194: 607, 28755
195: 135, 2TT35
196: 594, 2TJ23
197: 956, 2J248
198: 676, 2J2AQ
199: 947, 2JJ43
200: 41, 2JKJ4
201: 153, 2Q344
202: 395, 2QT24
203: 261, 2QJJ7
204: 852, 2QK7Q
205: 628, 2A57A
206: 474, 2A868
207: 471, 2A9AK
208: 558, 2AK9K
209: 420, 32942
210: 855, 339A8
211: 404, 33JKT
212: 125, 353A7
213: 511, 36596
214: 721, 36796
215: 508, 37J32
216: 747, 37K99
217: 348, 385K8
218: 321, 38982
219: 682, 38J37
220: 813, 3932K
221: 849, 39JK3
222: 306, 39K92
223: 876, 3T573
224: 465, 3T7JT
225: 73, 3J84J
226: 505, 3J8J2
227: 547, 3JK44
228: 602, 3QT3J
229: 877, 3QJ38
230: 12, 3QJ5J
231: 942, 3A23J
232: 760, 3A7JA
233: 967, 3AK32
234: 448, 42J2Q
235: 570, 433A5
236: 897, 43Q48
237: 715, 44763
238: 172, 44785
239: 631, 448A6
240: 588, 45229
241: 486, 4533T
242: 674, 477TJ
243: 368, 48389
244: 948, 4854J
245: 316, 48575
246: 95, 48896
247: 231, 49279
